US_Metro_Area_Code,US_Metro_Area_Name,Year,Percent_College_Graduates,Percent_White,Population,Region
4100,"Las Cruces, NM",1980,0.19286029,0.799510062,96339,4
4100,"Las Cruces, NM",1990,0.218596995,0.913260996,135510,4
4100,"Las Cruces, NM",2000,0.222928539,0.705659449,174682,4
4120,"Las Vegas, NV-AZ",1970,0.099597909,0.896988571,273290,4
4120,"Las Vegas, NV-AZ",1980,0.12596494,0.848308802,463056,4
4120,"Las Vegas, NV-AZ",1990,0.138117358,0.813019276,741457,4
4120,"Las Vegas, NV-AZ",2000,0.173348516,0.736862779,1375765,4
4150,"Lawrence, KS",1970,,,0,2
4150,"Lawrence, KS",1980,0.35127461,0.89942193,67615,2
4150,"Lawrence, KS",1990,0.384428114,0.891415417,81798,2
4150,"Lawrence, KS",2000,0.426835895,0.872491539,99962,2
4200,"Lawton, OK",1970,0.113446705,0.859186471,108143,3
4200,"Lawton, OK",1980,0.150776088,0.747252285,112442,3
4200,"Lawton, OK",1990,0.184400648,0.715740085,111486,3
4200,"Lawton, OK",2000,0.191103846,0.669710279,114996,3
4243,"Lewiston-Auburn, ME",1970,0.064242125,0.997420847,72505,1
4243,"Lewiston-Auburn, ME",1980,0.104949296,0.993065059,99640,1
4243,"Lewiston-Auburn, ME",1990,0.125512928,0.986602187,105240,1
4243,"Lewiston-Auburn, ME",2000,0.143660143,0.974921227,103793,1
4280,"Lexington, KY",1970,0.172278509,0.874623537,174323,3
4280,"Lexington, KY",1980,0.208848149,0.882517397,317601,3
4280,"Lexington, KY",1990,0.253444642,0.878138363,348428,3
4280,"Lexington, KY",2000,0.297813594,0.858088851,408326,3
4320,"Lima, OH",1970,0.068898506,0.914615273,111144,2
4320,"Lima, OH",1980,0.095421061,0.922620237,154769,2
4320,"Lima, OH",1990,0.109486483,0.911474645,154340,2
4320,"Lima, OH",2000,0.134389848,0.89329654,155084,2
4360,"Lincoln, NE",1970,0.175275415,0.978395104,167971,2
4360,"Lincoln, NE",1980,0.239070088,0.960639358,192829,2
4360,"Lincoln, NE",1990,0.27593568,0.950257421,213640,2
4360,"Lincoln, NE",2000,0.325656146,0.908182859,250291,2
4400,"Little Rock-North Little Rock, AR",1970,0.107127972,0.812889755,323296,3
4400,"Little Rock-North Little Rock, AR",1980,0.166544646,0.785522997,428173,3
4400,"Little Rock-North Little Rock, AR",1990,0.204039901,0.788699269,513117,3
4400,"Little Rock-North Little Rock, AR",2000,0.247711644,0.751081169,583845,3
4420,"Longview-Marshall, TX",1970,,,0,3
4420,"Longview-Marshall, TX",1980,0.137950853,0.75724864,151695,3
4420,"Longview-Marshall, TX",1990,0.159039766,0.753039777,162431,3
4420,"Longview-Marshall, TX",2000,0.180307135,0.730634212,173489,3
4480,"Los Angeles-Long Beach, CA (P)",1970,0.127357543,0.85688436,7016409,4
4480,"Los Angeles-Long Beach, CA (P)",1980,0.184800908,0.686727703,7473005,4
4480,"Los Angeles-Long Beach, CA (P)",1990,0.223204255,0.5691787,8862508,4
4480,"Los Angeles-Long Beach, CA (P)",2000,0.248580977,0.516282141,9519338,4
4520,"Louisville, KY-IN",1970,0.090477847,0.876084328,826554,3
